country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Dominican Republic,,,,,,,,,,,,73.6,,,,,,,,,,,,,,,,,,,,,86.8,,,,,88.2,,,89.4,90,90.1,90.5,91.4,91.7,93.8,,,,,,95.4,
Algeria,,,,,,,,,,,,,,,,,,63.4,,,,,,,,,,,,,,,79.2,,,,81.3,,82.6,,,,,,,,,,87.4,,,,,
Ecuador,,,,,,,,,,,,,86.8,,,,,,,,90.5,,,,,,,,,,,92.3,,,,,,93.4,93.7,93.7,93.3,93.1,93.3,94.4,95.3,95.7,95.4,93.8,,,94.8,94.9,94.9,
Egypt,,,,,,,53.6,,,,,,,,,,57,,,,,,,,,,67.2,,,,,,,,,77.9,74.6,,,,80.3,,81.7,81.7,,,,76.5,,,,,80,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.4,,,,,,75.1,,,,,,,,,,84.4,,,,,
Spain,,,,,,,,,,,,95.9,,,,,,,,,,98,,,,,,,,,,,,,98.1,98.6,98.6,98.6,98.4,98.5,98.5,98.5,98.6,98.7,98.7,98.8,98.8,,98.9,,99,,,
Estonia,,,,,,,,,,,,,,,,,,,,99.9,,,,,,,,,,,99.8,,,,,,,,,,,99.9,,,,,,,,,,99.9,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,50,41.9,,49.1,,,,,,,,,,59.2,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,79.4,,,,,,,,,,,,,,,,,,,84.9,,,,,,,,,,86.3,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.8,,,,,,,,,,,,99.7,,,99.4,,,,,99.6,
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.4,,,,,,,,,,78.3,,,,,,,,,,84.5,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,32.9,,,,,,,42.9,,,,,,,36.8,,,,43.6,,,,54.4,,,61.1,,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,51.4,,61.8,,,,,,,65.3,
Guinea-Bissau,,,,,,,,,,33.3,,,,,,,,,,,,,,,,,,,,,57.6,,,,,,,,,,,,,,62.2,,,,,,,,67.6,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.8,,,,,,,,,,97.2,,,,,,,,,,,,,
Greece,,,,,,,,,,,,96.1,,,,,,,,,,96,,,,,,,,,,97.8,,,,,,,,96.1,,,,,,,,,,,,,,
Grenada,98,,,,,,,,,,98.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,71.7,,,,,,,,75.4,,,,,,,,,,84.8,82.7,86.8,,,,85.3,,,,88.3,
Guam,,,,,,,,,,,96.4,,,,,,,,,,99.4,,,,,,,,,,99.6,,,,,,,,,,,,,,,,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.4,,,,,86.3,,,,,,,,90.4,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.8,,,,,,83.7,,,84.8,85.3,85.7,85.7,87.4,87.9,89,,87.1,88.2,,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,98.8,,,,,,,,,,99.3,,,,,,,,,,,,,,,,,,,,99.7,,
Haiti,,,,,,,,,,,,,37.1,,,,,,,,,,,,,,,,,,,,,63.1,,,53.4,,,,,,,,,,65.3,,,,,,,
Hungary,,,,,,,,,,,99.3,,,,,,,,,,99.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.1,,
Indonesia,,,,,,,,,,,77.5,,,,,,,,,,88,,,,,,,,,,,,,,94,,95.2,,95.4,95.6,,95.6,,,96.8,97.1,97.2,,97.3,,97.4,,,
India,,,,,,,,,,,,54.8,,,,,,,,,,61.6,,,,,,,,,,73.4,,,,,75.2,,,,,78.9,,,,,,,,,,,83.5,
Iran,,,,,,,48.2,,,,,,,,,,63.1,,,,,74.3,,,,,79.9,,,,,,83.5,,,88,87.3,,88.2,,,,88.9,89.5,89.6,,90.4,,,,,,93,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.1,,,,,,,,,,,,85.9,,90,,90,91.2,,,,,,
Israel,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,,,,,,97.5,,,,,,,,,,,,,,,,,,,,98.8,,,,,,,,,,99.1,,,,,,,,99.5,,,,
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.1,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,,,,,,,,,,80.5,,,,,,,,,,,,,,,,,,,,,,,,95.1,,95.2,,95.5,,,95.8,97.7,98.4,,,,,,,,,98.7,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,99.1,,,,,,,,,,99.8,,,,,,,,,,99.8,99.8,,,,,,,,,,99.9,,,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.5,,,,,,,78.1,,,,,,,83.8,,,,,,,,85.6,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.3,,,,,,,,,,99.5,,,,,,,,,,99.7,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.5,,,,,,84.7,,,,85,83.9,,,,,84.8,86.5,,,,,,,88.1,
South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.3,,,,,,,,,,99.2,,,,,
Kuwait,,,,,,68,,,,,72.8,,,,,78.2,,,,,,,,,,81.1,,,,,,,,,,94.4,94.5,94.8,95,,95.5,,95.8,96.4,,96.4,,96.7,96.7,,97.1,,,
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,73.5,,,,,81.4,77,,,,82.5,,,,,,67.4,,,,90,,,,,,,91.6,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.4,,94.3,,,,,,,,,91.8,,,,,
Liberia,,,,,,,,,,,,,,,44.9,,,,,,,,,,,,,,,,,,,,,,,60.8,,,,,,,,,,62.7,,,,,,
Libya,,,,,,,,,,,,,,,77,,,,,,,,,,87.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,,,,,,,,,,,,91.3,,,,,,,,,,,,,,,,,,,,92.3,,,,,92.7,,92.2,,92.6,,,,,,93.5,93,92.8,93,93.3,93.3,93.3,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,65.5,,,,,67.7,,,,,,,,73.9,
Lithuania,,,,,,,,,,,,,,,,,,,,99.2,,,,,,,,,,,,99.6,,,,,,,,,,99.8,,,,,,,,,,99.8,,
Latvia,,,,,,,,,,,,,,,,,,,,99.8,,,,,,,,,,,99.8,,,,,,,,,,,99.9,,,,,,,,,,99.9,,
"Macao, China",,,,,,,,,,,,92.8,,,,,,,,,,,,,,,,,,,,95.3,,,,,96.5,,,,,97.8,,,,,98.2,,,,,98.5,,
Morocco,,,,,,,,,,,,,43.7,,,,,,,,,,,,55.2,,,,,,,,,,65.7,,,,68.4,68.9,,76.1,80.4,,75.4,,,,,,,,85.6,
Moldova,,,,,,,,,,,,,,,,,,,,98.6,,,,,,,,,,,98,,,,,,,,,,,,,,99.6,,,,,,,99.7,,
