country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Dominican Republic,,,,,,,,,,,,72.5,,,,,,,,,,,,,,,,,,,,,87.2,,,,,88.3,,,89.7,90.2,90.2,91.3,92.1,92.3,93.8,,,,,,95.6,
Algeria,,,,,,,,,,,,,,,,,,35.8,,,,,,,,,,,,,,,60.1,,,,63.9,,67.5,,,,,,,,,,75.3,,,,,
Ecuador,,,,,,,,,,,,,80.4,,,,,,,,86.2,,,,,,,,,,,89.7,,,,,,90.9,91.1,90.9,90.5,90.2,91,92.2,93.3,93.3,93.3,92.1,,,92.5,94,93.1,
Egypt,,,,,,,22.4,,,,,,,,,,31.4,,,,,,,,,,43.6,,,,,,,,,56.1,57.8,,,,63.5,,65.8,62.7,,,,65.5,,,,,69,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.2,,,,,,54.8,,,,,,,,,,68.9,,,,,
Spain,,,,,,,,,,,,89.9,,,,,,,,,,95.1,,,,,,,,,,,,,96.2,96.9,97,97.3,96.9,96.9,97,97.1,97.2,97.4,97.5,97.5,97.7,,98,,98.2,,,
Estonia,,,,,,,,,,,,,,,,,,,,99.6,,,,,,,,,,,99.8,,,,,,,,,,,99.9,,,,,,,,,,99.9,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,18.5,,,,,,,,,,22.8,18,,28.9,,,,,,,,,,44.4,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,65.3,,,,,,,,,,,,,,,,,,,79.9,,,,,,,,,,85,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.6,,,,,,,,,,,,99.5,,,99.3,,,,,99.5,
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.8,,,,,,,,,,65.3,,,,,,,,,,76.2,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,9.74,,,,,,,18.2,,,,,,,12.2,,,,22,,,,27.7,,,31.3,,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.1,,,,,,,,,,,,,33.6,,41.6,,,,,,,52.3,
Guinea-Bissau,,,,,,,,,,8.59,,,,,,,,,,,,,,,,,,,,,27.5,,,,,,,,,,,,,,30.8,,,,,,,,41,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.6,,,,,,,,,,90.7,,,,,,,,,,,,,
Greece,,,,,,,,,,,,85.3,,,,,,,,,,89.4,,,,,,,,,,94.2,,,,,,,,91.8,,,,,,,,,,,,,,
Grenada,97.6,,,,,,,,,,98.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,57.3,,,,,,,,63.3,,,,,,,,,,72.4,72.1,76.4,,,,76.7,,,,80.4,
Guam,,,,,,,,,,,96.5,,,,,,,,,,99.3,,,,,,,,,,99.6,,,,,,,,,,,,,,,,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.3,,,,,85,,,,,,,,89.7,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2,,,,,,83.5,,,84.7,84.9,85.1,85.3,87,87.9,88.9,,87.3,88.7,,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,94.8,,,,,,,,,,97.1,,,,,,,,,,,,,,,,,,,,99.2,,
Haiti,,,,,,,,,,,,,32.5,,,,,,,,,,,,,,,,,,,,,54.9,,,44.6,,,,,,,,,,58.3,,,,,,,
Hungary,,,,,,,,,,,98.5,,,,,,,,,,98.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.1,,
Indonesia,,,,,,,,,,,57.7,,,,,,,,,,75.3,,,,,,,,,,,,,,86.8,,88.8,,89.1,89.7,,90.1,,,93.5,93.3,93.6,,94,,94.6,,,
India,,,,,,,,,,,,25.7,,,,,,,,,,33.7,,,,,,,,,,47.8,,,,,50.8,,,,,59.3,,,,,,,,,,,69.1,
Iran,,,,,,,24.4,,,,,,,,,,41,,,,,56.2,,,,,66.1,,,,,,70.4,,,76.8,77.2,,77.7,,,,78.4,79.8,79.8,,80.8,,,,,,84.9,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.2,,,,,,,,,,,,69,,74.6,,76.8,79.9,,,,,,
Israel,,,,,,,,,,,,,,88.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,,,,,,95.5,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,98.6,,,,,,,,99.2,,,,
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.9,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,,,,,,,,,,52.1,,,,,,,,,,,,,,,,,,,,,,,,84.7,,87,,88.9,,,89.2,93.9,97.4,,,,,,,,,98.1,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,96.1,,,,,,,,,,99.3,,,,,,,,,,99.7,99.7,,,,,,,,,,99.8,,,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.9,,,,,,,66.9,,,,,,,74,,,,,,,,80.3,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.1,,,,,,,,,,99,,,,,,,,,,99.5,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,64.1,,,,69.6,69.1,,,,,71.8,75,,,,,,,79.7,
South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.6,,,,,,,,,,98.4,,,,,
Kuwait,,,,,,48,,,,,59.1,,,,,68.8,,,,,,,,,,74.1,,,,,,,,,,91,90.8,91.5,91.8,,92.7,,95,94.3,,94.5,,94.8,94.9,,95.4,,,
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,47.9,,,,,58.5,60.9,,,,63.2,,,,,,49.7,,,,79.4,,,,,,,83.4,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,88.1,,,,,,,,,82.8,,,,,
Liberia,,,,,,,,,,,,,,,19.3,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,34.1,,,,,,
Libya,,,,,,,,,,,,,,,42.3,,,,,,,,,,63.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,,,,,,,,,,,,82,,,,,,,,,,,,,,,,,,,,89.1,,,,,89.1,,89.1,,90,,,,,,91.5,91,90.8,91.6,91.6,91.6,91.8,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,85,,,,,84.9,,,,,,,,89.8,
Lithuania,,,,,,,,,,,,,,,,,,,,97.8,,,,,,,,,,,,99.6,,,,,,,,,,99.8,,,,,,,,,,99.8,,
Latvia,,,,,,,,,,,,,,,,,,,,99.2,,,,,,,,,,,99.7,,,,,,,,,,,99.9,,,,,,,,,,99.9,,
"Macao, China",,,,,,,,,,,,86.2,,,,,,,,,,,,,,,,,,,,87.8,,,,,90.7,,,,,93.7,,,,,95,,,,,95.9,,
Morocco,,,,,,,,,,,,,17.5,,,,,,,,,,,,28.7,,,,,,,,,,39.6,,,,42.6,43.9,,57.6,59.1,,53.3,,,,,,,,69.1,
Moldova,,,,,,,,,,,,,,,,,,,,94.4,,,,,,,,,,,95.5,,,,,,,,,,,,,,99.1,,,,,,,99.5,,
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.3,,,,,54.8,,,,61.6,,,68.3,,,,,,75.1,,,,76,
Maldives,,,,,,,,82.2,,,,,,,,92.4,,,,,96.1,,,,,96.4,,,,,96.4,,,,,,98.4,,,,,,,,98.7,,98.1,,,,,98.4,,
Mexico,,,,,,,,,,,79.9,,,,,,,,,,85,,,,,,,,,,88.7,,88.7,,89.6,90.2,89.8,91.4,91.5,92.1,91.9,92.3,93.2,92.9,93.6,93.5,94,94.2,94.6,,94.5,,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.2,,,,,,,,,,,,
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,90.9,,,,,,,,94.1,,,,,,,,,,96.4,,,,,,,,,,,
Mali,,,,,,,5.74,,,,,,,,,,,,,,,,,,,,,,11.9,,,,,15.9,,,18.2,,,,20.3,18.9,,,,22.2,,,25.7,,22.1,,,
Malta,,,,,,,,,,,,,,,,87.3,,,,,,,,,,89.2,,,,,,,,,,93.5,,,,,,94.8,,,,,,,,,,96.4,,
Myanmar,,,,,,,,,,,,,,71.6,,,,,,,,,,,,,,,,,86.4,,,,,,,,,,,,,,,,71.8,,,86.3,,,,
Montenegro,,,,,,,,,,,,83.2,,,,,,,,,,97.8,,,,,,,,,,,,96.3,,,,,,,,97.5,,,,,,,,,,98.5,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.5,,,,,,,,,,98.3,,,,,,,,,,99.2,,,
Mozambique,,,,,,,,,,,12.1,,,,,,,,,,,,,,,,,25,,,,,,33.2,,,,,,36.5,,,,,,43.1,,50.3,,,48.6,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.4,,,,,,,35.3,,,,,,56.6,,,,,,,,62.2,,
